,Chapter,Subchapter,ProblemID,Due_date
0,4,4.1,60c00d7ca5dc4ad7a123a37b8cf7d694,2017-10-19
1,4,4.1,d02313703a4b4c1ea1523690556a9c2b,2017-10-19
2,4,4.3,234eb53e4dc54e36864230d10c86af05,2017-10-19
3,4,4.4,15be92eac6334daf96d23cf0b7f8ffda,2017-10-19
4,4,4.4,de2c6d1d705e45aeb24c7aae4163069d,2017-10-19
5,4,4.4,91fa36cbc1784ca4b60699d7741ccb5f,2017-10-19
6,4,4.5,bf74d6c84b224f74b97d376782b6a4a9,2017-10-19
7,4,4.6,73ed477e9e204207a2b2e4fe3e9a90ca,2017-10-19
8,4,4.6,36819f4b9b7b49859b08b1230ba2de33,2017-10-19
9,6,6.9,1d5df58214374b80974bf8776313e3fc,2017-11-07
10,6,6.9,976cc90ca18545bd88e26423a991f5c5,2017-11-07
11,6,6.9,fd88c2d656904e7ab0d8eaba8f7bae6d,2017-11-07
12,6,6.9,05da88dd254448ffbcd71948d238e620,2017-11-07
13,4,4.9,b3d090f7ad93424c9ed5b88935fa1b88,2017-10-19
14,4,4.9,baeb3c03878f43f59d932f594afab000,2017-10-19
15,4,4.10,d64186c493114a1baf3878396c1b2e82,2017-10-19
16,4,4.10,e79728834b9b4c698f8c8d709dd5d7fc,2017-10-19
17,4,4.10,3c235df09429446c983cc6d91c646494,2017-10-19
18,4,4.10,c10b935cd7ff4e8b934b07fb0edbbfd0,2017-10-19
19,4,4.10,0b184027e14346f1ad60742bed94dd6b,2017-10-19
20,4,4.10,1fdf39aa480c4c35a2952a156d0a0c77,2017-10-19
21,4,4.10,a70b012f778c4862aef4e73f0fb120ec,2017-10-19
22,4,4.10,5ac4c15fc93046359c72353016e2de4e,2017-10-19
23,4,4.10,d038816819b7497fae2ebc616c3bcd73,2017-10-19
24,4,4.10,b0b654085b544604a61eb9e4a900b810,2017-10-19
25,4,4.10,a1af33692d6e4f87848c597ef06bfb29,2017-10-19
26,4,4.10,9066a9a110cc41fda2ac2ef9fb4fcd57,2017-10-19
27,4,4.10,edd3f0aaec3840d78eca6635471dc230,2017-10-19
28,4,4.10,f29a7094bac445c49d833d05cfc3de0a,2017-10-19
29,4,4.10,673c1b8083214339a29be625d0dded0c,2017-10-19
30,5,5.1,874bdceffea44b7693b9d2140171d756,2017-10-24
31,5,5.2,7722e7fc4ab94d2d869d89a4f8930cd5,2017-10-24
32,5,5.4,17afd02ef2814e7799478e07f6a0b649,2017-10-24
33,5,5.5,4787b3e1c2d84c8eb5aa86b443bf435d,2017-10-24
34,5,5.5,095186b3538a456aa00261731e4e03f6,2017-10-24
35,5,5.5,b509f22c71ea49bc86cf8bc7f83d04a5,2017-10-24
36,5,5.6,5fa856a4aeef4622ba4291b620ea1ed9,2017-10-24
37,5,5.7,a8319b211f4b43fd848241e3fc3d3d31,2017-10-24
38,5,5.7,0aa69a7cb9bd4d729ae369cf3431bcd5,2017-10-24
39,5,5.7,1810d282105d4c04b2827443f06f7aa8,2017-10-24
40,5,5.7,dbd503ac9b9f4c59bf21eb30515fbf1d,2017-10-24
41,5,5.8,8e8cdc04530a41a09962ad2e65be29c8,2017-10-24
42,5,5.8,cb102be3870048a390a1fb842980b89d,2017-10-24
43,5,5.8,1367fb0cfdca4d528c88217a1aa36948,2017-10-24
44,5,5.9,079510d3d45649b0a2e4c8e583bd6d89,2017-10-24
45,5,5.10,2dd2ff4195fd41289a80cf7694652cde,2017-10-31
46,5,5.10,46f1ec7dc4324ca2b88da7efdc0dd96d,2017-10-31
47,5,5.10,446533a1a5c24ea2ac5a4f01a8e3ecc5,2017-10-31
48,5,5.10,8a4f1c65659f416e92eba69a065feefd,2017-10-31
