Subchapter;Due_date
3.3;16/10/2018
3.4;16/10/2018
3.6;16/10/2018
3.8;18/10/2018
3.9;18/10/2018
4.0;23/10/2018
4.1;23/10/2018
4.2;23/10/2018
4.3;23/10/2018
4.4;23/10/2018
4.5;23/10/2018
4.6;23/10/2018
4.7;25/10/2018
4.8;25/10/2018
4.9;25/10/2018
5.1;30/10/2018
5.2;30/10/2018
5.3;30/10/2018
5.4;30/10/2018
5.5;30/10/2018
5.6;31/10/2018
5.7;31/10/2018
5.8;31/10/2018
5.9;31/10/2018
5.10;05/11/2018
5.11;05/11/2018
5.12;05/11/2018
5.13;05/11/2018
5.14;05/11/2018
5.15;05/11/2018
6.1;13/11/2018
6.2;13/11/2018
6.3;13/11/2018
6.4;13/11/2018
6.5;13/11/2018
6.6;15/11/2018
6.7;15/11/2018
6.8;15/11/2018
6.9;15/11/2018
6.10;15/11/2018
7.1;20/11/2018
7.2;20/11/2018
7.3;20/11/2018
7.4;20/11/2018
7.5;20/11/2018
7.6;22/11/2018
7.7;22/11/2018
8.1;27/11/2018
8.2;27/11/2018
8.3;27/11/2018
8.4;27/11/2018
8.5;27/11/2018
8.6;29/11/2018
8.7;29/11/2018
8.8;29/11/2018
8.9;04/12/2018
8.10;04/12/2018
8.11;04/12/2018
9.0;06/12/2018
9.1;06/12/2018
9.2;06/12/2018
9.3;06/12/2018
9.4;06/12/2018
9.5;11/12/2018
9.6;11/12/2018
9.7;11/12/2018
9.8;13/12/2018
9.9;13/12/2018
9.10;13/12/2018
9.11;13/12/2018
9.12;13/12/2018
10.1;18/12/2018
10.2;18/12/2018
10.3;18/12/2018
10.4;18/12/2018
10.5;18/12/2018
10.6;18/12/2018
